Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location,Description
"Blender for a Hackathon [Design,Developer / Old ML (Bartos)]",2023-01-12,11:00,2023-01-12,12:00,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: Old ML (Bartos) | Ember Island
Major: Design,Developer

Learn how to use Blender in your projects! This beginner-friendly workshop will cover how to use this open source software to create, edit, and export 3D models. I'll be going over a variety of topics such as file formats, scripting, how to navigate Blender, and even how you can use your models in other applications like TikTok Effect House.
Speaker: Sam De Lara
Type: Beginner
Status: Confirmed
"
XR Interaction Toolkit [Developer / Old ML (Bartos)],2023-01-12,12:15,2023-01-12,13:30,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: Old ML (Bartos) | Ember Island
Major: Developer


Speaker: XR Terra

Status: Confirmed
"
Developing for the VIVE XR Elite (and Focus 3 including eye tracking) [ / Old ML (Bartos)],2023-01-12,13:30,2023-01-12,14:30,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: Old ML (Bartos) | Ember Island
Major: 


Speaker: Dario Laverde (HTC Vive)
Type: Beginner,Fun
Status: Confirmed
"
Intro to Version Control with Github [Developer / Old ML (Bartos)],2023-01-12,14:30,2023-01-12,15:30,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: Old ML (Bartos) | Ember Island
Major: Developer


Speaker: XR Terra
Type: Beginner
Status: Confirmed
"
"Blending Mixed Reality With Passthrough [Developer,Advanced / Old ML (Bartos)]",2023-01-12,15:30,2023-01-12,16:30,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: Old ML (Bartos) | Ember Island
Major: Developer,Advanced

""Explore examples of Passthrough interactions that can enrich the experience of your Mixed Reality applications and games”

Speaker: XR Bootcamp
Type: 
Status: Confirmed
"
Future Constructors: Building a better world  [Design / Old ML (Bartos)],2023-01-12,16:30,2023-01-12,18:00,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: Old ML (Bartos) | Ember Island
Major: Design


Speaker: Worldbuilding Team

Status: In progress
"
Ultraleap Workshop [Developer / iHQ 3F],2023-01-12,10:00,2023-01-12,11:00,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 3F | Southern Air Temple
Major: Developer


Speaker: Sponsor-Led

Status: In progress
"
Solana [Advanced / iHQ 3F],2023-01-12,11:00,2023-01-12,12:00,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 3F | Southern Air Temple
Major: Advanced

Extended reality (XR) is an emerging form that offers new creative opportunities in immersive narrative meaning-making. The critical shift toward participant immersion within digital information systems and simulation makes the scale of immersive media’s potential impact on human life, culture, and well-being, unlike any previous medium. As a new medium, XR presents unique challenges to media arts creators. In this workshop, participants will explore an immersive experience (XRX) design methodology for designing, planning, and executing immersive media works. The presenters define immersive experience design as a rhetorical, multimodal composition of objective stimuli to create subjective emotional states in the participants. The method applies design-thinking-based knowledge systems to enhance narrative transportation and presence. The methodology has been implemented in project-oriented courses over three years. Templates and handouts will be provided to facilitate implementation of the methodology by teams participating in MIT Reality Hack 2023. David Tamés, Associate Teaching Professor, Art + Design, Northeastern UniversityPeter Zakrzewski, Assistant Teaching Professor, Communication and Visual Arts, Thompson Rivers University
Speaker: Sponsor-Led

Status: In progress
"
Building Multiplayer games with Unity  [Developer / iHQ 3F],2023-01-12,12:15,2023-01-12,13:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 3F | Southern Air Temple
Major: Developer

Are you thinking about creating an online multiplayer experience with Unity? In this workshop, you will learn the basic concepts for making a multiplayer game using Unity and the Netcode for Game Objects library. This session will show you how to interact with Unity's networking package to build a simple co-op multiplayer 2D game.

Speaker: Esteban Maldonado (Unity)
Type: Has PreReqs
Status: Confirmed
"
Lynx [Developer / iHQ 3F],2023-01-12,13:30,2023-01-12,14:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 3F | Southern Air Temple
Major: Developer


Speaker: Sponsor-Led


"
Volunteer Orientation [None / iHQ 3F],2023-01-12,14:30,2023-01-12,15:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 3F | Southern Air Temple



Speaker: Org Member


"
"Unreal Engine [Developer,Advanced / iHQ 3F]",2023-01-12,15:30,2023-01-12,16:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 3F | Southern Air Temple
Major: Developer,Advanced


Speaker: Bryan Brown
Type: Beginner
Status: Confirmed
"
Mentor Orientation [None / iHQ 3F],2023-01-12,16:30,2023-01-12,17:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 3F | Southern Air Temple



Speaker: Brian Hui,Austin Edelman,ShapesXR Team

Status: In progress
"
Pico Neo 3 Workshop [AI / iHQ 4F],2023-01-12,10:00,2023-01-12,11:00,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 4F | Western Air Temple
Major: AI


Speaker: Jeff Roesner (Pico)
Type: Sponsor
Status: Confirmed
"
"Rapid Prototyping and Team Management [Developer,Business / iHQ 4F]",2023-01-12,11:00,2023-01-12,12:00,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 4F | Western Air Temple
Major: Developer,Business


Speaker: XR Terra
Type: Beginner
Status: Confirmed
"
"Generative Art with Super Stable Diffusion [Developer,Design / iHQ 4F]",2023-01-12,12:15,2023-01-12,13:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 4F | Western Air Temple
Major: Developer,Design

Setting up stable diffusion
Concepting Ideas
Prompt Engineering
Iterating on Designs
Speaker: Pratik Suketu
Type: 
Status: Confirmed
"
"Spatial Audio Overview [Design,Audio / iHQ 4F]",2023-01-12,13:30,2023-01-12,14:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 4F | Western Air Temple
Major: Design,Audio

Conceptual overview of spatial audio
Speaker: Shirly Spikes
Type: Beginner,Fun
Status: Confirmed
"
Rapid Prototyping and Team Management [Business / iHQ 4F],2023-01-12,14:30,2023-01-12,15:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 4F | Western Air Temple
Major: Business

How to build quickly and collaborate while you do it
Speaker: XR Terra
Type: Beginner
Status: Confirmed
"
"Spatial Audio Advanced Techniques  [Design,Developer,Audio,Advanced / iHQ 4F]",2023-01-12,15:30,2023-01-12,16:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 4F | Western Air Temple
Major: Design,Developer,Audio,Advanced

Digital Audio Workstations, mixing, adding audio interactivity
Speaker: Shirly Spikes
Type: 
Status: Confirmed
"
"Real-time Spatial Audio and Streaming |  [Developer,Audio / iHQ 4F]",2023-01-12,16:30,2023-01-12,17:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 4F | Western Air Temple
Major: Developer,Audio


Speaker: Dan Zeitman (Dolby.io)
Type: Sponsor
Status: Confirmed
"
Build Performant WebXR Apps in Record-Time with Wonderland Engine [Developer / iHQ 7F],2023-01-12,10:00,2023-01-12,11:00,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 7F | Northern Air  Temple
Major: Developer

Join the Wonderland CEO/CTO at the MIT Reality Hack for our workshop on building optimized WebXR apps in no time. Learn how to create immersive web-based VR apps using the Wonderland Engine, a specialized 3D development platform for XR on the web. We will give an introduction to the Wonderland Editor and Wonderland Engine's JavaScript API. Don't miss this opportunity to get a head-start into the future of web-based XR development.
Speaker: Jonathan Hale (Wonderland)
Type: Sponsor
Status: Confirmed
"
Scoping Your Project: How to Make a Successful Hackathon Project [Hardware Hack / iHQ 7F],2023-01-12,11:00,2023-01-12,12:00,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 7F | Northern Air  Temple
Major: Hardware Hack


Speaker: Bryan Brown

Status: Confirmed
"
DIY Open Source Hardware  [Hardware Hack / iHQ 7F],2023-01-12,12:15,2023-01-12,13:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 7F | Northern Air  Temple
Major: Hardware Hack


Speaker: Lucas De Bonet,Bryan Brown

Status: Confirmed
"
Walking through the hardware hack [Hardware Hack / iHQ 7F],2023-01-12,13:30,2023-01-12,14:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 7F | Northern Air  Temple
Major: Hardware Hack


Speaker: Lucas De Bonet,Austin Edelman

Status: Confirmed
"
Building your personal brand as a Founder [Business / iHQ 7F],2023-01-12,14:30,2023-01-12,15:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 7F | Northern Air  Temple
Major: Business

Not positioning your brand right can negatively impact your product launch or fundraising efforts. Learn the branding mistakes most startups make and get tips on building the founder’s brand – an important element of launching a successful business.
Speaker: Parna Sarkar-Basu (Prepare4VC.com)

Status: Confirmed
"
How not to pitch your startup venture [Business / iHQ 7F],2023-01-12,15:30,2023-01-12,16:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 7F | Northern Air  Temple
Major: Business


Speaker: Jason Kraus (Prepare4VC.com)

Status: Confirmed
"
De-Risk Failure with One Skill [Business / iHQ 7F],2023-01-12,16:30,2023-01-12,17:30,False,"MIT Innovation Headquarters, 292 Main St, Cambridge, MA 02142, Stany Zjednoczone","
Location: iHQ 7F | Northern Air  Temple
Major: Business

About 70% of all startups fail within the first 3 years. There is 1 skill that can improve your odds of success and help your startup avoid becoming a statistic. The skill...
Speaker: Chris Dube (Prepare4VC.com)

Status: Confirmed
"
